provider_email,health_centre_name
toby@gmail.com,Sydney Children Hospital
toby@gmail.com,UTS Health Service
samuel@gmail.com,Prince of Wales Hospital
sid@gmail.com,Royal Prince Alfred Hospital
michael@gmail.com,USYD Health Service
anna@gmail.com,UTS Health Service
thomas@gmail.com,Prince of Wales Hospital
ian@gmail.com,Sydney Children Hospital
gary@gmail.com,Sydney Children Hospital
anna@gmail.com,Sydney Children Hospital
anna@gmail.com,Prince of Wales Hospital
gary@gmail.com,USYD Health Service
laurel@gmail.com,Prince of Wales Hospital
laurel@gmail.com,UNSW Health Service
barbara@gmail.com,USYD Health Service
barbara@gmail.com,Royal Prince Alfred Hospital
helena@gmail.com,UNSW Health Service
